TmStamp,example/f8:11,example/f8:12,sunny/grid power,sunspectest/grid power
2022-12-01 12:31:00-06:00,,,,292.25
2022-12-01 12:32:00-06:00,,,,291.94736842105266
2022-12-01 12:33:00-06:00,,,,292.10526315789474
2022-12-01 12:34:00-06:00,,,,292.25
2022-12-01 12:35:00-06:00,,,,292.11764705882354
2022-12-01 12:36:00-06:00,,,,292.9655172413793
2022-12-01 12:37:00-06:00,,,,293.1111111111111
2022-12-01 12:38:00-06:00,,,,292.0
2022-12-01 12:39:00-06:00,,,,293.375
2022-12-01 12:40:00-06:00,,,,294.2857142857143
2022-12-01 12:41:00-06:00,,,,294.2173913043478
2022-12-01 12:42:00-06:00,,,,294.0
2022-12-01 12:43:00-06:00,,,,293.0
2022-12-01 12:44:00-06:00,,,,290.46153846153845
2022-12-01 12:45:00-06:00,,,,293.0
2022-12-01 12:46:00-06:00,,,,293.1
2022-12-01 12:47:00-06:00,,,,292.5
2022-12-01 12:48:00-06:00,,,,292.625
2022-12-01 12:49:00-06:00,,,,292.5
2022-12-01 12:50:00-06:00,,,,288.6923076923077
2022-12-01 12:51:00-06:00,,,,292.2857142857143
2022-12-01 12:52:00-06:00,,,,292.0
2022-12-01 12:53:00-06:00,,,,292.17391304347825
2022-12-01 12:54:00-06:00,,,,292.3529411764706
2022-12-01 12:55:00-06:00,,,,292.36842105263156
2022-12-01 12:56:00-06:00,,,,292.3181818181818
2022-12-01 12:57:00-06:00,,,,291.6842105263158
2022-12-01 12:58:00-06:00,,,,292.3333333333333
2022-12-01 12:59:00-06:00,,,,291.85714285714283
2022-12-01 13:00:00-06:00,,,,291.5
2022-12-01 13:01:00-06:00,,,,291.23809523809524
2022-12-01 13:02:00-06:00,,,,290.7826086956522
2022-12-01 13:03:00-06:00,,,,290.23809523809524
2022-12-01 13:04:00-06:00,,,,291.11538461538464
2022-12-01 13:05:00-06:00,,,,291.23333333333335
2022-12-01 13:06:00-06:00,,,,291.4347826086956
2022-12-01 13:07:00-06:00,,,,292.08
2022-12-01 13:08:00-06:00,,,,292.60869565217394
2022-12-01 13:09:00-06:00,,,,292.76
2022-12-01 13:10:00-06:00,,,,292.7142857142857
2022-12-01 13:11:00-06:00,,,,292.27272727272725
2022-12-01 13:12:00-06:00,,,,291.90909090909093
2022-12-01 13:13:00-06:00,,,,291.25925925925924
2022-12-01 13:14:00-06:00,,,,290.60869565217394
2022-12-01 13:15:00-06:00,,,,290.1764705882353
2022-12-01 13:16:00-06:00,,,,291.1111111111111
2022-12-01 13:17:00-06:00,,,,290.7368421052632
2022-12-01 13:18:00-06:00,,,,290.125
2022-12-01 13:19:00-06:00,,,,290.05882352941177
2022-12-01 13:20:00-06:00,,,,290.06666666666666
2022-12-01 13:21:00-06:00,,,,289.3181818181818
2022-12-01 13:22:00-06:00,,,,288.85714285714283
2022-12-01 13:23:00-06:00,,,,288.3181818181818
2022-12-01 13:24:00-06:00,,,,288.3333333333333
2022-12-01 13:25:00-06:00,,,,288.15384615384613
2022-12-01 13:26:00-06:00,,,,288.94117647058823
2022-12-01 13:27:00-06:00,,,,289.1875
2022-12-01 13:28:00-06:00,,,,288.07142857142856
2022-12-01 13:29:00-06:00,,,,288.0
2022-12-01 13:30:00-06:00,,,,287.94444444444446
2022-12-01 13:31:00-06:00,,,,287.0
2022-12-01 13:32:00-06:00,,,,287.0
2022-12-01 13:33:00-06:00,,,,287.0
2022-12-01 13:34:00-06:00,,,,285.6666666666667
2022-12-01 13:35:00-06:00,,,,285.0
2022-12-01 13:36:00-06:00,,,,284.0833333333333
2022-12-01 13:37:00-06:00,,,,283.3333333333333
2022-12-01 13:38:00-06:00,,,,283.24
2022-12-01 13:39:00-06:00,,,,283.0769230769231
2022-12-01 13:40:00-06:00,,,,280.89473684210526
2022-12-01 13:41:00-06:00,,,,283.1666666666667
2022-12-01 13:42:00-06:00,,,,283.0769230769231
2022-12-01 13:43:00-06:00,,,,283.10526315789474
2022-12-01 13:44:00-06:00,,,,283.11764705882354
2022-12-01 13:45:00-06:00,,,,282.07142857142856
2022-12-01 13:46:00-06:00,,,,279.6
2022-12-01 13:47:00-06:00,,,,281.2
2022-12-01 13:48:00-06:00,,,,281.15
2022-12-01 13:49:00-06:00,,,,281.16129032258067
2022-12-01 13:50:00-06:00,,,,281.1111111111111
2022-12-01 13:51:00-06:00,,,,280.85714285714283
2022-12-01 13:52:00-06:00,,,,279.5769230769231
2022-12-01 13:53:00-06:00,,,,280.4
2022-12-01 13:54:00-06:00,,,,280.24
2022-12-01 13:55:00-06:00,,,,279.1764705882353
2022-12-01 13:56:00-06:00,,,,279.4736842105263
2022-12-01 13:57:00-06:00,,,,279.59090909090907
2022-12-01 13:58:00-06:00,,,,279.16
2022-12-01 13:59:00-06:00,,,,275.8421052631579
2022-12-01 14:00:00-06:00,,,,277.2608695652174
2022-12-01 14:01:00-06:00,,,,276.5
2022-12-01 14:02:00-06:00,,,,276.08
2022-12-01 14:03:00-06:00,,,,275.5
2022-12-01 14:04:00-06:00,,,,275.2608695652174
2022-12-01 14:05:00-06:00,,,,274.2
2022-12-01 14:06:00-06:00,,,,273.7368421052632
2022-12-01 14:07:00-06:00,,,,273.0
2022-12-01 14:08:00-06:00,,,,271.8333333333333
2022-12-01 14:09:00-06:00,,,,271.3636363636364
2022-12-01 14:10:00-06:00,,,,271.0
2022-12-01 14:11:00-06:00,,,,269.2105263157895
2022-12-01 14:12:00-06:00,,,,269.15384615384613
2022-12-01 14:13:00-06:00,,,,268.89473684210526
2022-12-01 14:14:00-06:00,,,,267.7894736842105
2022-12-01 14:15:00-06:00,,,,266.9375
2022-12-01 14:16:00-06:00,,,,265.7
2022-12-01 14:17:00-06:00,,,,264.4117647058824
2022-12-01 14:18:00-06:00,,,,264.55555555555554
2022-12-01 14:19:00-06:00,,,,264.1363636363636
2022-12-01 14:20:00-06:00,,,,263.125
2022-12-01 14:21:00-06:00,,,,262.1578947368421
2022-12-01 14:22:00-06:00,,,,261.1
2022-12-01 14:23:00-06:00,,,,259.8695652173913
2022-12-01 14:24:00-06:00,,,,259.7
2022-12-01 14:25:00-06:00,,,,259.2608695652174
2022-12-01 14:26:00-06:00,,,,259.05263157894734
2022-12-01 14:27:00-06:00,,,,258.1818181818182
2022-12-01 14:28:00-06:00,,,,258.0
2022-12-01 14:29:00-06:00,,,,256.9375
2022-12-01 14:30:00-06:00,,,,253.73333333333332
2022-12-01 14:31:00-06:00,,,,256.0
2022-12-01 14:32:00-06:00,,,,254.58823529411765
2022-12-01 14:33:00-06:00,,,,253.89473684210526
2022-12-01 14:34:00-06:00,,,,253.23809523809524
2022-12-01 14:35:00-06:00,,,,253.13636363636363
2022-12-01 14:36:00-06:00,,,,250.6315789473684
2022-12-01 14:37:00-06:00,,,,251.25
2022-12-01 14:38:00-06:00,,,,250.33333333333334
2022-12-01 14:39:00-06:00,,,,249.52631578947367
2022-12-01 14:40:00-06:00,,,,249.04761904761904
2022-12-01 14:41:00-06:00,,,,248.04761904761904
2022-12-01 14:42:00-06:00,,,,244.0
2022-12-01 14:43:00-06:00,,,,246.11111111111111
2022-12-01 14:44:00-06:00,,,,245.4
2022-12-01 14:45:00-06:00,,,,244.64285714285714
2022-12-01 14:46:00-06:00,,,,244.07692307692307
2022-12-01 14:47:00-06:00,,,,243.8125
2022-12-01 14:48:00-06:00,,,,241.33333333333334
2022-12-01 14:49:00-06:00,,,,242.47619047619048
2022-12-01 14:50:00-06:00,,,,241.3684210526316
2022-12-01 14:51:00-06:00,,,,240.2
2022-12-01 14:52:00-06:00,,,,239.11764705882354
2022-12-01 14:53:00-06:00,,,,238.26315789473685
2022-12-01 14:54:00-06:00,,,,234.77777777777777
2022-12-01 14:55:00-06:00,,,,236.0
2022-12-01 14:56:00-06:00,,,,234.94117647058823
2022-12-01 14:57:00-06:00,,,,234.05263157894737
2022-12-01 14:58:00-06:00,,,,233.0
2022-12-01 14:59:00-06:00,,,,231.9375
2022-12-01 15:00:00-06:00,,,,230.58333333333334
2022-12-01 15:01:00-06:00,,,,229.0952380952381
2022-12-01 15:02:00-06:00,,,,228.5
2022-12-01 15:03:00-06:00,,,,227.57142857142858
2022-12-01 15:04:00-06:00,,,,226.84
2022-12-01 15:05:00-06:00,,,,225.88235294117646
2022-12-01 15:06:00-06:00,,,,224.5
2022-12-01 15:07:00-06:00,,,,222.86363636363637
2022-12-01 15:08:00-06:00,,,,222.5
2022-12-01 15:09:00-06:00,,,,221.08695652173913
2022-12-01 15:10:00-06:00,,,,219.3846153846154
2022-12-01 15:11:00-06:00,,,,217.76190476190476
2022-12-01 15:12:00-06:00,,,,216.0
2022-12-01 15:13:00-06:00,,,,214.47826086956522
2022-12-01 15:14:00-06:00,,,,213.3846153846154
2022-12-01 15:15:00-06:00,,,,211.57692307692307
2022-12-01 15:16:00-06:00,,,,209.69565217391303
2022-12-01 15:17:00-06:00,,,,208.04166666666666
2022-12-01 15:18:00-06:00,,,,206.5909090909091
2022-12-01 15:19:00-06:00,,,,205.04
2022-12-01 15:20:00-06:00,,,,203.36363636363637
2022-12-01 15:21:00-06:00,,,,201.66666666666666
2022-12-01 15:22:00-06:00,,,,199.95652173913044
2022-12-01 15:23:00-06:00,,,,197.68
2022-12-01 15:24:00-06:00,,,,195.03703703703704
2022-12-01 15:25:00-06:00,,,,191.95652173913044
2022-12-01 15:26:00-06:00,,,,188.6086956521739
2022-12-01 15:27:00-06:00,,,,186.0
2022-12-01 15:28:00-06:00,,,,184.33333333333334
2022-12-01 15:29:00-06:00,,,,181.24137931034483
